Title,Author,Date,URL,Description
"Live updates: Israeli campaign could lead to regime change in Iran, Netanyahu says; Iranians flee capital amid strikes - The Washington Post","Andrew Jeong, Abbie Cheeseman, Sammy Westfall, Yeganeh Torbati, Daniel Wu, Mustafa Salim, Lior Soroka, Mariana Alfaro, Meryl Kornfield, Jintak Han, Gerry Shih, Susannah George, Heidi Levine, Michael Birnbaum, Mikhail Klimentov",6/15/2025,https://www.washingtonpost.com/world/2025/06/15/israel-iran-attacks-live-tehran-tel-aviv/,"“The Iran regime is very weak,” Israeli Prime Minister Benjamin Netanyahu said in a television interview. Israeli struck energy facilities and government buildings Sunday."
Sen. Padilla denies clash at news conference was a ploy for attention - Politico,Gregory Svirnovskiy,6/15/2025,https://www.politico.com/news/2025/06/15/alex-padilla-clash-noem-00406817,"""Nothing could be further from the truth,"" he said Sunday."
Hollywood Celebrates Famous Dads on Father's Day - TMZ,TMZ Staff,6/15/2025,https://www.tmz.com/2025/06/15/hollywood-celebrates-famous-dads-on-fathers-day/,"It’s Father’s Day, and Hollywood is showing love to dads everywhere — whether they’re raising the next generation of stars or are famous fathers themselves."
Reports: Magic add Desmond Bane in trade with Grizzlies - NBA,NBA.com Staff,6/15/2025,https://www.nba.com/news/magic-grizzlies-trade-bane-caldwell-pope,"Orlando reportedly will send Kentavious Caldwell-Pope, Cole Anthony and multiple 1st-round picks to Memphis for the dynamic guard."
The stage is set for Sunday drama at the US Open as Sam Burns leads Adam Scott and J.J. Spaun by one stroke - CNN,Kyle Feldscher,6/15/2025,https://www.cnn.com/2025/06/14/sport/us-open-third-round-spt,"It’s shaping up to be a dramatic Sunday at the US Open as American Sam Burns goes for his first major win and leads the field by one stroke, just ahead of Australian Adam Scott and his compatriot J.J. Spaun"
"‘How to Train Your Dragon’ Flies to $198 Million Globally, ‘Lilo & Stitch’ Surpasses $850 Million - Variety",Rebecca Rubin,6/15/2025,https://variety.com/2025/film/box-office/box-office-how-to-train-your-dragon-nears-200-million-lilo-stitch-surpasses-850-million-1236432245/,"""How to Train Your Dragon"" is nearing $200 million after its first weekend of release while ""Lilo & Stitch"" has surpassed the $850 million mark."
At least 8 dead in shooting near Israeli and US-supported aid sites in Gaza - NPR,The Associated Press,6/15/2025,https://www.npr.org/2025/06/15/nx-s1-5434274/at-least-8-dead-in-shooting-near-israeli-and-us-supported-aid-sites-in-gaza,Witnesses said Israeli forces opened fire around dawn toward crowds of desperate Palestinians heading to two aid sites in the southern city of Rafah.
What to know about Minnesota lawmakers' shootings that killed Melissa Hortman - Axios,Rebecca Falconer,6/15/2025,https://www.axios.com/2025/06/15/minnesota-shootings-lawmakers-what-to-know,A manhunt is under way in Minnesota for the suspect in the shooting attacks of 2 Minnesota lawmakers at their Twin Cities homes.
‘Man with rifle’ — Photos capture the frightening scene of the shooting at Salt Lake City’s ‘No Kings’ protest - The Salt Lake Tribune,Unknown,6/15/2025,https://www.sltrib.com/news/2025/06/15/man-with-rifle-photos-capture/,"The shooting at Salt Lake City's ""No Kings"" project told through the lens of on-the-scene Salt Lake Tribune photographers."
Kevin Durant prefers trade to one of these three NBA teams - New York Post,Justin Tasch,6/15/2025,https://nypost.com/2025/06/15/sports/kevin-durant-prefers-trade-to-one-of-these-three-nba-teams/,Kevin Durant has narrowed his list down to three teams.
What’s Behind PayPal’s Will Ferrell Ads? - WSJ,WSJ,6/15/2025,https://www.wsj.com/business/media/whats-behind-paypals-will-ferrell-ads-558eb81c,
Trump’s FAA pick has claimed ‘commercial’ pilot license he doesn’t have - Politico,Oriana Pawlyk,6/15/2025,https://www.politico.com/news/2025/06/15/trumps-faa-pick-has-claimed-commercial-pilot-license-he-doesnt-have-00406090,"Bryan Bedford, the nominee to head the Federal Aviation Administration, for years erroneously stated in his Republic Airways bio that he is a pilot with a “commercial” rating."
How to build the best keyboard in the world - The Verge,Nathan Edwards,6/15/2025,https://www.theverge.com/tech/686441/norbauer-seneca-keyboard-creator,"Ryan Norbauer spent half a decade and several hundred thousand dollars developing the Seneca, a $3,600 custom capacitive keyboard for keyboard enthusiasts."
Air India plane crash death toll rises to 270 - BBC,Unknown,6/15/2025,https://www.bbc.com/news/articles/c0575me7j82o,Dr Dhaval Gameti said 270 bodies have been recovered from the site of Thursday's plane crash in Ahmedabad.
"Trump's military parade in DC overshadowed by his giant toilet statue, netizens quip ‘The only throne fit for this King’ - Hindustan Times - Hindustan Times",Bhavika Rathore,6/15/2025,https://www.hindustantimes.com/world-news/us-news/trumps-military-parade-in-dc-overshadowed-by-his-giant-toilet-statue-netizens-quip-the-only-throne-fit-for-this-king-101749988973810.html,"Trump's military parade in DC faced torrential rain and protests, overshadowed by a striking eight-foot statue of him on a toilet."
Israel and Iran trade more deadly strikes in third day of escalating conflict - NPR,Rebecca Rosman,6/15/2025,https://www.npr.org/2025/06/15/nx-s1-5434172/israel-iran-strikes,"At least ten people were killed in Israel overnight, after multiple Iranian missiles evaded the country's advanced defense systems. Explosions rocked Tehran, but casualties weren't immediately clear."
"James Webb telescope discovers 'a new kind of climate' on Pluto, unlike anything else in our solar system - Live Science",Sharmila Kuthunur,6/15/2025,https://www.livescience.com/space/pluto/james-webb-telescope-discovers-a-new-kind-of-climate-on-pluto-unlike-anything-else-in-our-solar-system,"New James Webb Space Telescope data reveal Pluto's high-altitude haze is a key driver of the climate on the dwarf planet, offering clues to Earth's ancient atmosphere."
"As Harvard's and Yale's private equity holdings go on sale, buyers can use this technique for 1,000% windfalls. 'It makes your brain melt' - Fortune",Greg McKenna,6/15/2025,https://fortune.com/2025/06/15/harvard-yale-private-equity-holdings-sale-net-asset-value-discounts-nav-squeezing/,"Universities are willing to sell at a discount, but not necessarily because of Trump’s attack on their finances."
Could this city be the model for how to tackle the housing crisis and climate change? - NPR,Unknown,6/15/2025,https://www.npr.org/2025/06/15/nx-s1-5400642/affordable-housing-environment-vienna-climate-change,"Vienna has a way to make affordable housing and combat climate change all at the same time. Now U.S. cities want in, and they're building their own green housing."
"After Omaha, Nebraska largest worksite immigration raid, a community works to recover - NBC News",Nicole Acevedo,6/15/2025,https://www.nbcnews.com/news/us-news/omaha-immigration-workplace-raid-aftermath-rcna212931,Glenn Valley Foods and the city's residents work to forge ahead following the raid's chilling effect on the local workforce and the community at large.
"Mark Ruffalo, Kerry Washington, & More Celebs Attend No Kings Protests - Deadline",Natalie Oganesyan,6/15/2025,http://deadline.com/2025/06/mark-ruffalo-kerry-washington-celebs-no-kings-protests-1236434259/,"Celebrities like Mark Ruffalo, Kerry Washington and many more joined thousands protesting during the anti-Trump 'No Kings' rallies nationwide."
Study Reveals How Much Exercise You Need Each Week to Control Blood Pressure - ScienceAlert,Clare Watson,6/15/2025,https://www.sciencealert.com/study-reveals-how-much-exercise-you-need-each-week-to-control-blood-pressure,"When it comes to exercising for heart's sake, you don't want to peak too early in life."
Can the Beckham brand survive reports of family feud? - BBC,Unknown,6/15/2025,https://www.bbc.com/news/articles/cd62dq8gevpo,"A PR expert says coverage has begun to affect the family's public image, with it taking a more soap-opera-like tone."
"Diddy’s Ex-Assistant Details Alleged 24-Hour ""Kings Night"" Sex Parties - HotNewHipHop",Unknown,6/15/2025,https://www.hotnewhiphop.com/920062-diddys-ex-assistant-details-alleged-kings-night-hip-hop-news,
Seven replies to the viral Apple reasoning paper and why they fall short - Hacker News,Unknown,6/15/2025,https://news.ycombinator.com/item?id\\u003d44278403,
"Carbon dioxide removal methods could worsen marine oxygen loss, study warns - Phys.org",Ilka Thomsen,6/14/2025,https://phys.org/news/2025-06-carbon-dioxide-methods-worsen-marine.html,"Methods to enhance the ocean's uptake of carbon dioxide (CO₂) are being explored to help tackle the climate crisis. However, some of these approaches could significantly exacerbate ocean deoxygenation. Their potential impact on marine oxygen must therefore be…"
Scientists Are Getting Closer to Finding Evidence of the Fifth Force - Yahoo,Darren Orf,6/14/2025,https://www.popularmechanics.com/space/solar-system/a65064098/fifth-force-evidence-asteroids/,An international team of scientists put the idea to the test thanks to mountains of data regarding OSIRIS-REx’s recent asteroid target Bennu.
These Are The Aircraft Orders To Expect At Next Week’s Paris Air Show - Simple Flying,Dillon Shah,6/14/2025,https://simpleflying.com/these-aircraft-orders-rumored-pas-2025/,Analysts predict about 800 orders at the upcoming Paris Air Show.
"Antarctica Scientists ""Don't Actually Have an Explanation"" for Strange Radio Pulses Coming from Below the Ice - The Debrief","Christopher Plain, Christopher Plain",6/14/2025,https://thedebrief.org/antarctica-scientists-dont-actually-have-an-explanation-for-strange-radio-pulses-coming-from-below-the-ice/,Scientists hunting Antarctica for elusive neutrinos report the detection of strange radio pulses coming from beneath the ice.
The Switch 2 Pro Controller: Prepare For Glue And Fragile Parts - Hackaday,Maya Posch,6/14/2025,https://hackaday.com/2025/06/14/the-switch-2-pro-controller-prepare-for-glue-and-fragile-parts/,"For those of us who have worked on SNES and GameCube controllers, we know that these are pretty simple to get into and maintain. However, in the trend of making modern game controllers more complex…"
Boulder County resident exposed Flatiron Flyer passengers to measles - The Denver Post,Meg Wingerter,6/14/2025,https://www.denverpost.com/2025/06/13/flatiron-flyer-measles-colorado-denver-boulder/,"A Boulder County resident who recently traveled to Europe returned with measles, becoming the state’s 15th case this year."
"Kennedy’s HHS sent Congress ‘junk science’ to defend vaccine changes, experts say - CNN",Unknown,6/14/2025,https://www.cnn.com/2025/06/13/health/kennedy-hhs-congress-vaccine-changes,A document the Department of Health and Human Services sent to lawmakers to support Secretary Robert F. Kennedy Jr.’s decision to change U.S. policy on covid vaccines cites scientific studies that are unpublished or under dispute and mischaracterizes others.
